Gene_Name,TPM_uncorrected,,Global_Frequency,Present_in_Transcripts,Transcript_Length,TPM_corrected_GSB,Fixed Mean (xc),Fixed Standard Deviation (w),Report,,Gene_Name,ratio(corrected/uncorrected),TPM_uncorrected,TPM_corrected_GSB
ABCC1,17.16131925,,6,"ABCC1|ENST00000622828.3, ABCC1|ENST00000399408.7, ABCC1|ENST00000572882.3, ABCC1|ENST00000677164.1, ABCC1|ENST00000621144.4, ABCC1|ENST00000678422.1",9424,17.29,54.34,7.69,OK,,C1QBPP2,2.677052288,4.019346222,10.76
ABCC10,26.62931345,,1,ABCC10|ENST00000372515.8,8283,25.4,58.71,7.24,OK,,FAM157B,2.642314786,26.29512591,69.48
ABCC11,0.265193301,,2,"ABCC11|ENST00000569991.1, ABCC11|ENST00000356608.7",8602,0.24,50.82,8.78,OK,,WHAMMP3,2.559473745,4.93460815,12.63
ABCC12,0,,5,"ABCC12|ENST00000527640.1, ABCC12|ENST00000533639.5, ABCC12|ENST00000529084.5, ABCC12|ENST00000311303.8, ABCC12|ENST00000528693.6",10637,0,49.48,8.42,OK,,TUSC1,2.536263631,12.46321542,31.61
ABCC13,5.002784398,,1,ABCC13|ENST00000463099.1,4530,4.99,39.77,7.53,OK,,KRTAP13-3,2.518515565,1.365883955,3.44
ABCC2,1.097763457,,3,"ABCC2|ENST00000647814.1, ABCC2|ENST00000648689.1, ABCC2|ENST00000647836.1",8025,1.13,45.49,9.36,OK,,RPL21P47,2.497816128,0.016013989,0.04
ABCC3,115.1794765,,1,ABCC3|ENST00000515707.1,10065,114.32,55.8,7.51,OK,,HUS1B,2.490839642,1.505516428,3.75
ABCC4,14.37762777,,3,"ABCC4|ENST00000643051.1, ABCC4|ENST00000645237.2, ABCC4|ENST00000643842.1",8993,14.7,42.28,10.28,OK,,RNA5SP502,2.478829303,0.948028167,2.35
ABCC5,37.65603433,,7,"ABCC5|ENST00000446941.2, ABCC5|ENST00000438979.6, ABCC5|ENST00000265586.10, ABCC5|ENST00000392579.6, ABCC5|ENST00000443376.5, ABCC5|ENST00000334444.11, ABCC5|ENST00000382494.6",11692,37.42,49.06,8.77,OK,,CARMIL2P1,2.473971318,0.16976753,0.42
ABCC6,14.9198611,,9,"ABCC6|ENST00000205557.12, ABCC6|ENST00000632157.1, ABCC6|ENST00000632562.1, ABCC6|ENST00000600761.3, ABCC6|ENST00000577103.1, ABCC6|ENST00000620078.4, ABCC6|ENST00000574094.6, ABCC6|ENST00000622290.5, ABCC6|ENST00000575728.1",8451,14.64,58.67,7.94,OK,,HLA-DPA3,2.467620772,5.320914845,13.13
ABCC6P1,21.40410382,,1,ABCC6P1|ENST00000565566.1,1121,22.09,56.87,6.56,OK,,BRI3P1,2.463173539,0.958113573,2.36
ABCC6P2,8.098098229,,2,"ABCC6P2|ENST00000632973.1, ABCC6P2|ENST00000526069.1",2209,8.14,56.84,8.64,OK,,EFCAB14P1,2.453651237,20.35741643,49.95
ABCC9,70.53490071,,3,"ABCC9|ENST00000683676.1, ABCC9|ENST00000261200.9, ABCC9|ENST00000261201.10",18029,76.59,38.96,9.37,OK,,BHLHE22,2.451219448,0.126467665,0.31
ABCD1,8.858760694,,1,ABCD1|ENST00000218104.6,4188,8.89,63.44,7.34,OK,,NT5CP1,2.440429045,0.426154574,1.04
ABCD1P2,0.205777699,,2,"ABCD1P2|ENST00000672862.1, ABCD1P2|ENST00000429313.1",1552,0.23,62.81,5.95,OK,,FAM210CP,2.437058391,0.545739899,1.33
ABCD1P3,0,,1,ABCD1P3|ENST00000562927.2,965,0,56.44,23.97,OK,,GATA6,2.41737306,64.13987256,155.05
ABCD1P4,0.25408863,,2,"ABCD1P4|ENST00000399687.3, ABCD1P4|ENST00000672763.1",1110,0.22,60.6,5.57,OK,,SPIN4,2.417224919,7.07836489,17.11
ABCD1P5,27.43268558,,1,ABCD1P5|ENST00000445663.1,3638,29.28,58.44,11.21,OK,,NUDT10,2.399114975,0.72526745,1.74
ABCD2,0.92243247,,1,ABCD2|ENST00000308666.4,6241,0.97,33.01,8.91,OK,,RPL21P116,2.397149209,409.2194163,980.96
ABCD3,50.26578602,,1,ABCD3|ENST00000370214.9,7644,52.41,35.82,8.47,OK,,FBXO36P1,2.395247299,0.471767571,1.13
ABCD4,17.65542321,,15,"ABCD4|ENST00000469672.5, ABCD4|ENST00000470637.1, ABCD4|ENST00000489207.1, ABCD4|ENST00000557588.5, ABCD4|ENST00000557554.5, ABCD4|ENST00000493427.1, ABCD4|ENST00000477803.5, ABCD4|ENST00000553486.5, ABCD4|ENST00000356924.9, ABCD4|ENST00000481935.5, ABCD4|ENST00000493752.5, ABCD4|ENST00000475240.5, ABCD4|ENST00000555617.5, ABCD4|ENST00000460308.6, ABCD4|ENST00000553745.5",9842,17.67,54.58,7.53,OK,,RSL24D1P3,2.383669615,3.00377198,7.16
ABCE1,15.63460026,,1,ABCE1|ENST00000502586.5,6630,15.48,37.01,8.55,OK,,DNAAF2,2.382225362,13.78962735,32.85
ABCF1,29.96718421,,13,"ABCF1|ENST00000420257.6, ABCF1|ENST00000421042.6, ABCF1|ENST00000457078.6, ABCF1|ENST00000448939.6, ABCF1|ENST00000412443.6, ABCF1|ENST00000383587.8, ABCF1|ENST00000383588.8, ABCF1|ENST00000376545.7, ABCF1|ENST00000423247.6, ABCF1|ENST00000457111.6, ABCF1|ENST00000419893.6, ABCF1|ENST00000452530.6, ABCF1|ENST00000426219.6",4788,30.74,51.88,8.12,OK,,PRXL2CP1,2.365611854,0.122589849,0.29
ABCF2,17.07269955,,1,ABCF2|ENST00000287844.7,5135,17.43,50.93,8.7,OK,,OSTCP8,2.357835132,10.07279927,23.75
ABCF2-H2BK1,30.19648354,,1,ABCF2-H2BK1|ENST00000222388.6,2136,30.53,51.16,8.18,OK,,RPL21P46,2.346179526,388.0990307,910.55
ABCF2P1,1.656311587,,1,ABCF2P1|ENST00000465687.1,1818,1.66,48.76,6.9,OK,,SULT4A1,2.333866622,0.004284735,0.01
ABCF2P2,0,,1,ABCF2P2|ENST00000450549.1,685,0,46.35,6.51,OK,,TRBV27,2.324044092,1.325276061,3.08
ABCF3,22.42359277,,1,ABCF3|ENST00000421340.5,5650,22.54,55.37,7.64,OK,,RNF11,2.31453385,50.51989195,116.93
ABCG1,30.2888091,,1,ABCG1|ENST00000398457.6,6244,29.96,55,8.14,OK,,YWHAQP6,2.311448919,6.76631868,15.64
ABCG2,31.65613507,,1,ABCG2|ENST00000650821.1,5693,32.57,39.06,9.43,OK,,C3orf80,2.293170874,0.54073598,1.24
ABCG4,0.066578186,,1,ABCG4|ENST00000619701.5,6292,0.07,56.65,7.04,OK,,TMEM229A,2.293104464,0.148270611,0.34
ABCG5,0,,2,"ABCG5|ENST00000409962.1, ABCG5|ENST00000405322.8",3861,0,52.97,14.76,OK,,RSL24D1P11,2.280204207,4.232077096,9.65
ABCG8,0.533657852,,1,ABCG8|ENST00000644611.1,10127,0.49,50.81,11.04,OK,,LSM3P2,2.265377581,7.257068374,16.44
ABHD1,6.763497892,,2,"ABHD1|ENST00000489120.5, ABHD1|ENST00000621324.4",4809,6.95,54.52,9.36,OK,,SVIL-AS1,2.257445397,8.500759321,19.19
ABHD10,13.39028956,,1,ABHD10|ENST00000491580.1,3117,13.04,37.15,12.68,OK,,CLIC6,2.251399829,7.555299498,17.01
ABHD11,82.23368719,,8,"ABHD11|ENST00000222800.8, ABHD11|ENST00000497897.5, ABHD11|ENST00000437775.7, ABHD11|ENST00000357419.9, ABHD11|ENST00000468998.1, ABHD11|ENST00000458339.6, ABHD11|ENST00000395147.9, ABHD11|ENST00000480445.5",2689,69.36,59.07,7,OK,,HNRNPDP1,2.247226625,2.265014104,5.09
ABHD12,25.69825965,,19,"ABHD12|ENST00000672358.1, ABHD12|ENST00000673524.1, ABHD12|ENST00000672331.1, ABHD12|ENST00000673227.1, ABHD12|ENST00000672871.1, ABHD12|ENST00000672001.1, ABHD12|ENST00000672596.1, ABHD12|ENST00000673094.1, ABHD12|ENST00000672258.1, ABHD12|ENST00000672566.1, ABHD12|ENST00000376542.8, ABHD12|ENST00000339157.10, ABHD12|ENST00000471287.5, ABHD12|ENST00000465694.2, ABHD12|ENST00000671784.1, ABHD12|ENST00000672114.1, ABHD12|ENST00000450393.5, ABHD12|ENST00000491682.5, ABHD12|ENST00000671858.1",5171,25.3,55.2,12.16,OK,,SLC25A15P2,2.245194832,0.129164737,0.29
ABHD12B,35.37478445,,1,ABHD12B|ENST00000337334.7,4753,28.14,42.93,10.58,OK,,HMGN2P36,2.235471356,6.025574858,13.47
ABHD13,11.88029313,,1,ABHD13|ENST00000375898.4,5264,12.69,30.77,7.9,OK,,GAPDHP63,2.234968196,16.9801074,37.95
ABHD14A,5.039488346,,1,ABHD14A|ENST00000497864.5,2302,4.82,60.75,6.74,OK,,RPL22P8,2.22233961,10.34045377,22.98
ABHD14A-ACY1,27.76493287,,1,ABHD14A-ACY1|ENST00000636085.1,5549,28.09,58.5,6.01,OK,,DUX4L24,2.209297342,0.004526326,0.01
ABHD14B,48.51500021,,1,ABHD14B|ENST00000483233.5,3334,46.36,59.57,9.36,OK,,MYL6P4,2.191616594,0.041065577,0.09
ABHD15,31.40050743,,1,ABHD15|ENST00000307201.5,3443,36.37,56,16.67,OK,,MTCO3P42,2.184609748,3.515502028,7.68
ABHD16A,30.94549028,,7,"ABHD16A|ENST00000466279.5, ABHD16A|ENST00000488822.5, ABHD16A|ENST00000462535.5, ABHD16A|ENST00000468205.5, ABHD16A|ENST00000475266.5, ABHD16A|ENST00000483475.5, ABHD16A|ENST00000492968.5",4579,30.22,57.26,7.11,OK,,ATP5F1AP2,2.182121541,70.04651075,152.85
ABHD16B,0.500476035,,1,ABHD16B|ENST00000369916.5,1442,0.5,69.37,6.11,OK,,HCN2,2.170424302,0.21654752,0.47
ABHD17A,23.46925912,,3,"ABHD17A|ENST00000677868.1, ABHD17A|ENST00000676686.1, ABHD17A|ENST00000292577.12",6477,24.21,66.45,8.78,OK,,G0S2,2.163298845,2.066288719,4.47
ABHD17AP1,19.18011377,,1,ABHD17AP1|ENST00000358206.4,1765,21.45,55.9,20.41,OK,,TRBV6-5,2.162312567,4.768043324,10.31
ABHD17AP3,20.10951036,,1,ABHD17AP3|ENST00000503096.1,1412,21.33,66.88,8.82,OK,,ACTG1P20,2.156107413,122.5263632,264.18
ABHD17AP4,29.61210073,,1,ABHD17AP4|ENST00000411545.2,860,32.59,65.17,7.05,OK,,GAS1,2.154705649,0.259896288,0.56
ABHD17AP5,19.52318326,,1,ABHD17AP5|ENST00000580133.2,1526,32.9,58.56,30.08,OK,,KCTD12,2.153670736,75.77295695,163.19
ABHD17AP6,28.27470187,,1,ABHD17AP6|ENST00000458502.2,995,32.24,66.5,7.72,OK,,VPS51P10,2.146056666,0.386755864,0.83
ABHD17AP7,0.387415357,,1,ABHD17AP7|ENST00000569060.1,546,0.41,64.81,6.27,OK,,IGLVI-70,2.145741015,2.213687471,4.75
ABHD17AP8,0.402911971,,1,ABHD17AP8|ENST00000569698.2,525,0.46,64.3,7.87,OK,,NPM1P18,2.141007587,18.97704625,40.63
ABHD17AP9,0.42390538,,1,ABHD17AP9|ENST00000561925.2,499,0.48,64.09,7.72,OK,,H2AL1MP,2.139666854,5.767252961,12.34
ABHD17B,19.29364421,,2,"ABHD17B|ENST00000333421.7, ABHD17B|ENST00000377041.6",3170,21.54,37.74,15.61,OK,,HMGN2P11,2.132576533,8.506142555,18.14
ABHD17C,40.06177619,,1,ABHD17C|ENST00000560609.1,9357,37.3,40.96,10.34,OK,,TSEN15P1,2.123043471,1.370673771,2.91
ABHD18,11.15671056,,1,ABHD18|ENST00000473040.6,6914,11.43,37.29,13.12,OK,,GPR135,2.104507076,3.463994055,7.29
ABHD2,57.57798351,,1,ABHD2|ENST00000569411.5,10243,58.54,47.86,10.83,OK,,HMGB1P27,2.095255445,236.0857724,494.66
ABHD3,84.0622742,,3,"ABHD3|ENST00000577891.1, ABHD3|ENST00000289119.7, ABHD3|ENST00000579982.1",4466,85.16,40.49,12.66,OK,,SLC25A15P3,2.091800428,0.086050274,0.18
ABHD4,13.57237679,,5,"ABHD4|ENST00000216327.10, ABHD4|ENST00000428304.7, ABHD4|ENST00000537243.5, ABHD4|ENST00000539344.1, ABHD4|ENST00000544562.5",4535,14.67,53.96,8.42,OK,,MTCH2P3,2.090149482,69.81318862,145.92
ABHD5,11.66525483,,1,ABHD5|ENST00000643520.1,8038,11.88,39.83,11.32,OK,,IGHV3-52,2.078436481,7.64035858,15.88
ABHD6,13.64009797,,1,ABHD6|ENST00000295962.8,3596,13.83,50.53,10.67,OK,,PNPLA5,2.07508401,0.004819082,0.01
ABHD8,6.474739278,,2,"ABHD8|ENST00000247706.4, ABHD8|ENST00000594194.1",3283,7.52,64.77,12.42,OK,,USP9YP3,2.069860268,0.004831244,0.01
ABI1,38.33971211,,12,"ABI1|ENST00000376160.5, ABI1|ENST00000536334.5, ABI1|ENST00000376139.6, ABI1|ENST00000359188.8, ABI1|ENST00000346832.10, ABI1|ENST00000376166.5, ABI1|ENST00000376170.8, ABI1|ENST00000376137.9, ABI1|ENST00000376138.7, ABI1|ENST00000376142.6, ABI1|ENST00000490841.7, ABI1|ENST00000376140.4",4541,42.72,35.64,13.21,OK,,TTC36,2.066981838,1.204654997,2.49
ABI1P1,0.082232926,,1,ABI1P1|ENST00000603375.1,1614,0.08,41.15,6.24,OK,,RNA5SP389,2.065373656,6.095749291,12.59
ABI2,5.131269097,,1,ABI2|ENST00000261017.9,24005,5.17,42.26,12.71,OK,,ACTG1P15,2.063832694,0.004845354,0.01
ABI3,11.1208259,,2,"ABI3|ENST00000225941.6, ABI3|ENST00000419580.6",2331,11.78,61.58,8.4,OK,,WIZP1,2.059572773,1.276963861,2.63
ABI3BP,6.245752602,,8,"ABI3BP|ENST00000530236.6, ABI3BP|ENST00000530539.2, ABI3BP|ENST00000475896.5, ABI3BP|ENST00000486770.7, ABI3BP|ENST00000471714.6, ABI3BP|ENST00000495063.6, ABI3BP|ENST00000710654.1, ABI3BP|ENST00000284322.10",12195,6.39,43.74,8.49,OK,,OR2A15P,2.051777424,0.004873823,0.01
ABITRAM,14.20241717,,1,ABITRAM|ENST00000322940.11,2501,14.42,39.18,8.26,OK,,TRAV21,2.046903043,3.893687113,7.97
ABITRAMP1,0.067441028,,1,ABITRAMP1|ENST00000510179.1,492,0.08,39.57,5.2,OK,,PRR23C,2.04686806,14.64676722,29.98
ABL1,55.71191494,,1,ABL1|ENST00000372348.9,6989,55.29,57.79,10.25,OK,,RPS29P16,2.037810499,391.5084353,797.82
ABL2,14.8477256,,2,"ABL2|ENST00000504324.1, ABL2|ENST00000344730.8",16795,14.61,46.35,9.71,OK,,SRSF8CP,2.036403042,2.141029998,4.36
ABLIM1,75.39008072,,2,"ABLIM1|ENST00000533213.7, ABLIM1|ENST00000649363.1",10504,75.81,46.72,9.71,OK,,TMEM158,2.032538611,1.717064552,3.49
ABLIM2,6.47400826,,1,ABLIM2|ENST00000512594.5,6429,6.39,57.71,9.03,OK,,NR0B1,2.010790168,0.164114588,0.33
ABLIM3,1.73524151,,1,ABLIM3|ENST00000326685.11,7436,1.75,52.29,7.79,OK,,IRF2BP2,1.9962194,129.1691685,257.85
ABO,55.82839616,,4,"ABO|ENST00000611156.4, ABO|ENST00000644422.3, ABO|ENST00000538324.2, ABO|ENST00000453660.4",8370,55.91,53.17,13.56,OK,,MED10,1.992823993,19.72577615,39.31
